permalink,name,market,status,funding_total_usd
/organization/4home,4Home,cloud computing,acquired," 94,16,354 "
/organization/4info,4INFO,advertising,operating," 7,02,88,000 "
/organization/4less,4Less,marketplaces,operating," 10,00,000 "
/organization/4meee,4meee,e-commerce,operating," 5,00,000 "
/organization/4moms,4moms,hardware + software,operating," 6,00,00,000 "
/organization/4s91-com,4s91.com,mobile,operating," 1,00,00,000 "
/organization/4soils,4Soils,kids,operating," 50,000 "
/organization/4tech,4Tech,biotechnology,operating," 70,00,000 "
/organization/4th-aspect,4th aspect,advertising,operating," 11,21,081 "
/organization/4tiitoo,4tiitoo GmbH,interface design,operating, -   
/organization/4vets,4vets,pets,operating," 7,62,500 "
/organization/5-cups-and-some-sugar,5 CUPS and some sugar,curated web,operating," 3,85,980 "
/organization/5-examples,5 examples,software,operating," 2,50,000 "
/organization/5-million-shoppers,5 Million Shoppers,mobile,operating," 15,000 "
/organization/5-minutes,5 Minutes,games,operating," 35,00,000 "
/organization/5-oclock-records,5 O'Clock Records,software,operating," 4,40,000 "
/organization/5-screens-media,5 Screens Media,business services,operating," 80,000 "
/organization/5-star-mobile,5 Star Mobile,consumer electronics,operating," 1,80,000 "
/organization/5-star-quarterback,5 Star Quarterback,sports,operating, -   
/organization/50-cubes,50 Cubes,women,operating, -   
/organization/50-partners,50 Partners,venture capital,operating, -   
/organization/500friends,500Friends,e-commerce,acquired," 1,29,00,000 "
/organization/500px,500px,photography,operating," 93,25,000 "
/organization/500shops,500Shops,online shopping,operating," 5,000 "
/organization/51-auto,51 Auto,automotive,closed," 45,00,000 "
/organization/51-give,51 Give,carbon,operating, -   
/organization/51-com,51.com,software,operating," 2,70,00,000 "
/organization/5151tuan,5151tuan,real estate,operating," 29,28,257 "
/organization/5173-com,5173.com,e-commerce,operating," 93,00,000 "
/organization/i-want-to-see-dentist-website,51aiya.com,health care,operating," 3,89,673 "
/organization/51credit-com,51credit.com,finance,operating," 1,00,00,000 "
/organization/51edj,51edj,e-commerce,operating," 11,58,814 "
/organization/51edu,51edu,education,operating, -   
/organization/51fanli,51fanli,online shopping,operating," 2,00,00,000 "
/organization/51hejia-com,51hejia.com,curated web,operating," 1,00,00,000 "
/organization/51intern-com-2,51intern.com è±è¾ç½,career management,operating, -   
/organization/51talk,51Talk,education,operating," 6,51,00,000 "
/organization/51wan,51wan,games,operating," 15,00,000 "
/organization/5211game,5211game,games,operating," 10,00,000 "
/organization/525j-com-cn,525j.com.cn,manufacturing,operating, -   
/organization/55social,55social,software,operating," 30,00,000 "
/organization/55tuan-com,55tuan.com,e-commerce,operating," 20,00,00,000 "
/organization/56-com,56.com,photography,acquired," 3,00,00,000 "
/organization/58-com,58.com,software,operating," 87,67,80,000 "
/organization/591wed,591wed,curated web,operating," 1,00,00,000 "
/organization/5app,5app,web design,operating," 51,00,000 "
/organization/5barz-international,5BARz International,technology,operating," 61,00,000 "
/organization/5by,5by,photography,acquired, -   
/organization/5gig,5gig,web development,operating," 3,68,750 "
/organization/5i-sciences,5i Sciences,medical,operating, -   
/organization/5k-fans,5k Fans,software,operating," 80,00,000 "
/organization/5min,5min Media,video,acquired," 1,28,00,000 "
/organization/5minutes,5minutes,social media,operating," 15,873 "
/organization/5o9,5o9,software,operating," 50,000 "
/organization/5rocks,5Rocks,games,acquired," 39,87,693 "
/organization/5skills,5skills,social media,operating," 30,000 "
/organization/5th-avenue-media,5th Avenue Media,distribution,operating," 2,50,000 "
/organization/5th-finger,5th Finger,mobile,operating," 70,00,000 "
/organization/5th-planet-games,5th Planet Games,mobile games,operating," 30,00,000 "
/organization/5to1,5to1,internet marketing,acquired," 1,71,29,760 "
/organization/60mo,60mo,finance,acquired," 13,00,000 "
/organization/64-pixels,64 Pixels,curated web,operating," 1,00,000 "
/organization/640-labs,640 Labs,software,operating," 30,50,000 "
/organization/66-com,66. com,real estate,operating, -   
/organization/6apt,6APT,education,operating, -   
/organization/6connect,6connect,web hosting,operating," 20,00,000 "
/organization/6fusion,6fusion,enterprise software,operating," 2,52,50,000 "
/organization/6renyou-com,6renyou.com,mobile,operating," 10,00,000 "
/organization/6rooms,6Rooms,photography,operating," 3,05,00,000 "
